year,geog,fips,statecd,theme_id,indic_id,pct_pop_workforce,moe_pop_workforce
2000,Alexandria,51510,51,11,1102,0.744262808,
2005,Alexandria,51510,51,11,1102,0.753602518,0.019
2006,Alexandria,51510,51,11,1102,0.771878064,0.023
2007,Alexandria,51510,51,11,1102,0.74137931,0.02
2008,Alexandria,51510,51,11,1102,0.769731447,0.021
2009,Alexandria,51510,51,11,1102,0.756490306,0.024
2010,Alexandria,51510,51,11,1102,0.784676711,0.022
2000,District of Columbia,11001,11,11,1102,0.635818617,
2005,District of Columbia,11001,11,11,1102,0.682734043,
2006,District of Columbia,11001,11,11,1102,0.667815814,
2007,District of Columbia,11001,11,11,1102,0.668685932,0.008
2008,District of Columbia,11001,11,11,1102,0.680491374,0.012
2009,District of Columbia,11001,11,11,1102,0.667468696,0.01
2010,District of Columbia,11001,11,11,1102,0.668033153,0.01
2000,Arlington,51013,51,11,1102,0.748780473,
2005,Arlington,51013,51,11,1102,0.753747337,0.018
2006,Arlington,51013,51,11,1102,0.76481065,0.016
2007,Arlington,51013,51,11,1102,0.77797092,0.013
2008,Arlington,51013,51,11,1102,0.792868335,0.018
2009,Arlington,51013,51,11,1102,0.797446261,0.013
2010,Arlington,51013,51,11,1102,0.800500078,0.014
2000,Fairfax,51059,51,11,1102,0.73132419,
2005,Fairfax,51059,51,11,1102,0.721834864,0.008
2006,Fairfax,51059,51,11,1102,0.729840548,0.008
2007,Fairfax,51059,51,11,1102,0.723696395,0.007
2008,Fairfax,51059,51,11,1102,0.738556639,0.006
2009,Fairfax,51059,51,11,1102,0.745583997,0.006
2010,Fairfax,51059,51,11,1102,0.737122801,0.007
2000,Virginia,,51,11,1102,0.668115075,
2005,Virginia,,51,11,1102,0.682409041,0.003
2006,Virginia,,51,11,1102,0.675210523,0.003
2007,Virginia,,51,11,1102,0.670499567,0.002
2008,Virginia,,51,11,1102,0.684531554,0.003
2009,Virginia,,51,11,1102,0.673666168,0.002
2010,Virginia,,51,11,1102,0.666554439,0.003
2000,US,,,11,1102,0.639232694,
2005,US,,,11,1102,0.658984514,0.001
2006,US,,,11,1102,0.649720966,0.001
2007,US,,,11,1102,0.648061863,0.001
2008,US,,,11,1102,0.659499811,0.001
2009,US,,,11,1102,0.652836337,0.001
2010,US,,,11,1102,0.643747231,0.001
