year,month,geog,fips,statecd,theme_id,indic_id,Num_Foreclose_Condo,Num_Foreclose_SFH,Num_Foreclose_Comm,Num_Foreclose_Land,Num_Foreclose_Tot
2006,1,Alexandria,51510,51,2,205,,,,,0
2006,2,Alexandria,51510,51,2,205,,,,,0
2006,3,Alexandria,51510,51,2,205,,,,,0
2006,4,Alexandria,51510,51,2,205,,,,,0
2006,5,Alexandria,51510,51,2,205,2,,,,2
2006,6,Alexandria,51510,51,2,205,2,,,,2
2006,7,Alexandria,51510,51,2,205,3,,,,3
2006,8,Alexandria,51510,51,2,205,,,,,0
2006,9,Alexandria,51510,51,2,205,1,1,,,2
2006,10,Alexandria,51510,51,2,205,3,,,,3
2006,11,Alexandria,51510,51,2,205,2,,,1,3
2006,12,Alexandria,51510,51,2,205,8,,,,8
2007,1,Alexandria,51510,51,2,205,3,2,,1,6
2007,2,Alexandria,51510,51,2,205,4,2,,,6
2007,3,Alexandria,51510,51,2,205,0,0,,,0
2007,4,Alexandria,51510,51,2,205,6,4,,,10
2007,5,Alexandria,51510,51,2,205,7,3,,,10
2007,6,Alexandria,51510,51,2,205,6,3,,,9
2007,7,Alexandria,51510,51,2,205,14,12,,,26
2007,8,Alexandria,51510,51,2,205,3,3,,,6
2007,9,Alexandria,51510,51,2,205,11,3,,,14
2007,10,Alexandria,51510,51,2,205,14,6,,,20
2007,11,Alexandria,51510,51,2,205,8,4,,,12
2007,12,Alexandria,51510,51,2,205,7,14,,,21
2008,1,Alexandria,51510,51,2,205,8,2,,,10
2008,2,Alexandria,51510,51,2,205,18,8,,,26
2008,3,Alexandria,51510,51,2,205,12,7,1,,20
2008,4,Alexandria,51510,51,2,205,16,6,,,22
2008,5,Alexandria,51510,51,2,205,24,12,,,36
2008,6,Alexandria,51510,51,2,205,18,13,,,31
2008,7,Alexandria,51510,51,2,205,23,14,,,37
2008,8,Alexandria,51510,51,2,205,28,17,,,45
2008,9,Alexandria,51510,51,2,205,32,12,,,44
2008,10,Alexandria,51510,51,2,205,20,14,,,34
2008,11,Alexandria,51510,51,2,205,14,5,,,19
2008,12,Alexandria,51510,51,2,205,28,13,,,41
2009,1,Alexandria,51510,51,2,205,12,10,,,22
2009,2,Alexandria,51510,51,2,205,19,6,,,25
2009,3,Alexandria,51510,51,2,205,11,6,1,,18
2009,4,Alexandria,51510,51,2,205,10,11,,,21
2009,5,Alexandria,51510,51,2,205,13,5,2,,20
2009,6,Alexandria,51510,51,2,205,15,12,,,27
2009,7,Alexandria,51510,51,2,205,13,9,,,22
2009,8,Alexandria,51510,51,2,205,29,8,1,,38
2009,9,Alexandria,51510,51,2,205,18,5,,,23
2009,10,Alexandria,51510,51,2,205,17,6,,,23
2009,11,Alexandria,51510,51,2,205,10,11,1,,22
2009,12,Alexandria,51510,51,2,205,21,6,1,,28
2010,1,Alexandria,51510,51,2,205,16,7,,,23
2010,2,Alexandria,51510,51,2,205,12,5,,,17
2010,3,Alexandria,51510,51,2,205,33,5,1,,39
2010,4,Alexandria,51510,51,2,205,22,8,,,30
2010,5,Alexandria,51510,51,2,205,17,8,,,25
2010,6,Alexandria,51510,51,2,205,20,5,,,25
2010,7,Alexandria,51510,51,2,205,15,1,1,,17
2010,8,Alexandria,51510,51,2,205,21,7,1,1,30
2010,9,Alexandria,51510,51,2,205,31,8,2,2,43
2010,10,Alexandria,51510,51,2,205,22,5,,,27
2010,11,Alexandria,51510,51,2,205,14,7,1,,22
2010,12,Alexandria,51510,51,2,205,8,2,,,10
2011,1,Alexandria,51510,51,2,205,6,2,,,8
2011,2,Alexandria,51510,51,2,205,9,3,,,12
2011,3,Alexandria,51510,51,2,205,10,4,,,14
2011,4,Alexandria,51510,51,2,205,6,1,,,7
2011,5,Alexandria,51510,51,2,205,13,2,1,,16
2011,6,Alexandria,51510,51,2,205,13,9,,,22
2011,7,Alexandria,51510,51,2,205,10,6,,,16
2011,8,Alexandria,51510,51,2,205,20,5,,,25
2011,9,Alexandria,51510,51,2,205,15,3,,,18
2011,10,Alexandria,51510,51,2,205,12,4,0,,16
2011,11,Alexandria,51510,51,2,205,13,1,0,,14
2011,12,Alexandria,51510,51,2,205,9,2,0,,11
