year,geog,fips,statecd,theme_id,indic_id,num_prenatal_1st_tri,denom_prenatal_1st_tri,pct_prenatal_1st_tri
2000,Alexandria,51510,51,4,404,1711,2432,70.35
2001,Alexandria,51510,51,4,404,1629,2424,67.2
2002,Alexandria,51510,51,4,404,1522,2208,68.93
2003,Alexandria,51510,51,4,404,1595,2333,68.37
2004,Alexandria,51510,51,4,404,1639,2375,69.01
2005,Alexandria,51510,51,4,404,1666,2451,67.97
2006,Alexandria,51510,51,4,404,1653,2436,67.86
2007,Alexandria,51510,51,4,404,1745,2525,69.11
2008,Alexandria,51510,51,4,404,1982,2595,76.38
2009,Alexandria,51510,51,4,404,1632,2558,63.8
2000,Planning District 8,,,4,404,25020,29882,83.73
2001,Planning District 8,,,4,404,25463,30604,83.2
2002,Planning District 8,,,4,404,25411,30831,82.42
2003,Planning District 8,,,4,404,25843,31333,82.48
2004,Planning District 8,,,4,404,26961,32942,81.84
2005,Planning District 8,,,4,404,26855,33373,80.47
2006,Planning District 8,,,4,404,26184,33324,78.57
2007,Planning District 8,,,4,404,26646,33941,78.51
2008,Planning District 8,,,4,404,27694,33839,81.84
2009,Planning District 8,,,4,404,26659,33972,78.47
2000,Virginia,,51,4,404,83633,98864,84.59
2001,Virginia,,51,4,404,83619,98531,84.87
2002,Virginia,,51,4,404,84085,99235,84.73
2003,Virginia,,51,4,404,85259,100561,84.78
2004,Virginia,,51,4,404,88054,103830,84.81
2005,Virginia,,51,4,404,88409,104488,84.61
2006,Virginia,,51,4,404,88867,106474,83.46
2007,Virginia,,51,4,404,90225,108417,83.22
2008,Virginia,,51,4,404,90150,106578,84.59
2009,Virginia,,51,4,404,86890,104979,82.77
