year,geog,fips,statecd,theme_id,indic_id,num_adult_good_health,pct_adult_good_health,num_adult_vgood_health,pct_adult_vgood_health,num_adult_exc_health,pct_adult_exc_health,num_adult_goodexc_health,pct_adult_goodexc_health
2000,Alexandria,51510,51,4,406,30521,0.249238508,53427,0.436291923,31711,0.258956205,115659,0.9445
2001,Alexandria,51510,51,4,406,39004,0.332770241,23394,0.199590479,42874,0.365787902,105272,0.8981
2002,Alexandria,51510,51,4,406,34987,0.260254102,33178,0.246797685,57707,0.429258967,125872,0.9363
2003,Alexandria,51510,51,4,406,22980,0.202075273,32468,0.285508266,49940,0.439148786,105388,0.9267
2004,Alexandria,51510,51,4,406,14520,0.158626114,32204,0.351817864,35148,0.383980073,81872,0.8944
2005,Alexandria,51510,51,4,406,12205,0.18718751,28902,0.443268611,19272,0.295573755,60379,0.926
2006,Alexandria,51510,51,4,406,15212,0.195927409,29574,0.380906995,25399,0.32713386,70185,0.904
2007,Alexandria,51510,51,4,406,21756,0.250068966,29728,0.341701149,25902,0.297724138,77386,0.8895
2008,Alexandria,51510,51,4,406,14521,0.24061309,26167,0.433587407,12858,0.213057167,53546,0.8873
2009,Alexandria,51510,51,4,406,16863,0.220111994,22047,0.287778517,31138,0.406442939,70048,0.9143
2010,Alexandria,51510,51,4,406,14164,0.173287495,24838,0.303877069,37665,0.460807223,76667,0.938
2000,Arlington,51013,51,4,406,41061,0.25565497,54597,0.33993313,50780,0.31616763,146438,0.9118
2001,Arlington,51013,51,4,406,22585,0.18535693,49275,0.40440392,41202,0.33814815,113062,0.9279
2002,Arlington,51013,51,4,406,17197,0.10891208,54285,0.34379789,73905,0.46805533,145387,0.9208
2003,Arlington,51013,51,4,406,43299,0.31097561,39363,0.28270706,47074,0.33808785,129736,0.9318
2004,Arlington,51013,51,4,406,29058,0.26059818,28342,0.25417694,44394,0.39813461,101794,0.9129
2005,Arlington,51013,51,4,406,30526,0.28068853,36666,0.33714622,33256,0.30579105,100448,0.9236
2006,Arlington,51013,51,4,406,51023,0.40695013,36274,0.2893148,29427,0.23470438,116724,0.931
2007,Arlington,51013,51,4,406,27088,0.21455332,55087,0.43632231,34978,0.27704688,117153,0.9279
2008,Arlington,51013,51,4,406,25150,0.22752357,38112,0.34478641,33715,0.30500823,96977,0.8773
2009,Arlington,51013,51,4,406,15558,0.12845006,44158,0.36457757,52360,0.43229498,112076,0.9253
2010,Arlington,51013,51,4,406,60500,0.39541191,42771,0.27953988,35399,0.23135845,138670,0.9063
2000,Fairfax,51059,51,4,406,144996,0.24414047,228620,0.38494437,189504,0.31908187,563120,0.9482
2001,Fairfax,51059,51,4,406,108477,0.16686998,269111,0.41397298,224476,0.34531104,602064,0.9262
2002,Fairfax,51059,51,4,406,105590,0.18223144,294920,0.50898472,129929,0.22423666,530439,0.9155
2003,Fairfax,51059,51,4,406,93166,0.17057684,225520,0.41290266,180660,0.33076886,499346,0.9142
2004,Fairfax,51059,51,4,406,179943,0.2676827,262032,0.38979806,193923,0.2884793,635898,0.946
2005,Fairfax,51059,51,4,406,120362,0.20972059,193728,0.33755462,219229,0.38198796,533319,0.9293
2006,Fairfax,51059,51,4,406,172392,0.23896337,254807,0.35320398,218718,0.30317875,645917,0.8953
2007,Fairfax,51059,51,4,406,270997,0.34693345,221036,0.2829728,223244,0.28579951,715277,0.9157
2008,Fairfax,51059,51,4,406,261815,0.31257126,358165,0.42759997,180566,0.21557108,800546,0.9557
2009,Fairfax,51059,51,4,406,156393,0.22820201,274076,0.39992004,218923,0.31944313,649392,0.9476
2010,Fairfax,51059,51,4,406,331999,0.33558472,290773,0.29391347,296836,0.30004195,919608,0.9295
